location,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,stringency_index,population,population_density
Belgium,12/31/2019,0,0,,0,0,,,11589616,375.564
Belgium,1/1/2020,0,0,,0,0,,0,11589616,375.564
Belgium,1/2/2020,0,0,,0,0,,0,11589616,375.564
Belgium,1/3/2020,0,0,,0,0,,0,11589616,375.564
Belgium,1/4/2020,0,0,,0,0,,0,11589616,375.564
Belgium,1/5/2020,0,0,,0,0,,0,11589616,375.564
Belgium,1/6/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/7/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/8/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/9/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/10/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/11/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/12/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/13/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/14/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/15/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/16/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/17/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/18/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/19/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/20/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/21/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/22/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/23/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/24/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/25/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/26/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/27/2020,0,0,0,0,0,0,0,11589616,375.564
Belgium,1/28/2020,0,0,0,0,0,0,5.56,11589616,375.564
Belgium,1/29/2020,0,0,0,0,0,0,5.56,11589616,375.564
Belgium,1/30/2020,0,0,0,0,0,0,5.56,11589616,375.564
Belgium,1/31/2020,0,0,0,0,0,0,11.11,11589616,375.564
Belgium,2/1/2020,0,0,0,0,0,0,11.11,11589616,375.564
Belgium,2/2/2020,0,0,0,0,0,0,11.11,11589616,375.564
Belgium,2/3/2020,0,0,0,0,0,0,11.11,11589616,375.564
Belgium,2/4/2020,1,1,0.143,0.086,0.086,0.012,11.11,11589616,375.564
Belgium,2/5/2020,1,0,0.143,0.086,0,0.012,11.11,11589616,375.564
Belgium,2/6/2020,1,0,0.143,0.086,0,0.012,11.11,11589616,375.564
Belgium,2/7/2020,1,0,0.143,0.086,0,0.012,11.11,11589616,375.564
Belgium,2/8/2020,1,0,0.143,0.086,0,0.012,11.11,11589616,375.564
Belgium,2/9/2020,1,0,0.143,0.086,0,0.012,11.11,11589616,375.564
Belgium,2/10/2020,1,0,0.143,0.086,0,0.012,11.11,11589616,375.564
Belgium,2/11/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/12/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/13/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/14/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/15/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/16/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/17/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/18/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/19/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/20/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/21/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/22/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/23/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/24/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/25/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/26/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/27/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/28/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,2/29/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,3/1/2020,1,0,0,0.086,0,0,11.11,11589616,375.564
Belgium,3/2/2020,19,18,2.571,1.639,1.553,0.222,11.11,11589616,375.564
Belgium,3/3/2020,38,19,5.286,3.279,1.639,0.456,11.11,11589616,375.564
Belgium,3/4/2020,72,34,10.143,6.212,2.934,0.875,13.89,11589616,375.564
Belgium,3/5/2020,125,53,17.714,10.786,4.573,1.528,13.89,11589616,375.564
Belgium,3/6/2020,206,81,29.286,17.775,6.989,2.527,13.89,11589616,375.564
Belgium,3/7/2020,316,110,45,27.266,9.491,3.883,13.89,11589616,375.564
Belgium,3/8/2020,343,27,48.857,29.595,2.33,4.216,13.89,11589616,375.564
Belgium,3/9/2020,407,64,55.429,35.118,5.522,4.783,13.89,11589616,375.564
Belgium,3/10/2020,501,94,66.143,43.228,8.111,5.707,19.44,11589616,375.564
Belgium,3/11/2020,600,99,75.429,51.77,8.542,6.508,19.44,11589616,375.564
Belgium,3/12/2020,774,174,92.714,66.784,15.013,8,19.44,11589616,375.564
Belgium,3/13/2020,1024,250,116.857,88.355,21.571,10.083,23.15,11589616,375.564
Belgium,3/14/2020,1362,338,149.429,117.519,29.164,12.893,50.93,11589616,375.564
Belgium,3/15/2020,1541,179,171.143,132.964,15.445,14.767,50.93,11589616,375.564
Belgium,3/16/2020,1755,214,192.571,151.429,18.465,16.616,50.93,11589616,375.564
Belgium,3/17/2020,2142,387,234.429,184.821,33.392,20.227,50.93,11589616,375.564
Belgium,3/18/2020,2564,422,280.571,221.233,36.412,24.209,73.15,11589616,375.564
Belgium,3/19/2020,3098,534,332,267.308,46.076,28.646,73.15,11589616,375.564
Belgium,3/20/2020,3811,713,398.143,328.829,61.521,34.353,81.48,11589616,375.564
Belgium,3/21/2020,4473,662,444.429,385.949,57.12,38.347,81.48,11589616,375.564
Belgium,3/22/2020,4943,470,486,426.502,40.554,41.934,81.48,11589616,375.564
Belgium,3/23/2020,5429,486,524.857,468.437,41.934,45.287,81.48,11589616,375.564
Belgium,3/24/2020,6757,1328,659.286,583.022,114.585,56.886,81.48,11589616,375.564
Belgium,3/25/2020,7952,1195,769.714,686.131,103.11,66.414,81.48,11589616,375.564
Belgium,3/26/2020,9151,1199,864.714,789.586,103.455,74.611,81.48,11589616,375.564
Belgium,3/27/2020,10514,1363,957.571,907.191,117.605,82.623,81.48,11589616,375.564
Belgium,3/28/2020,12032,1518,1079.857,1038.171,130.979,93.175,81.48,11589616,375.564
Belgium,3/29/2020,12876,844,1133.286,1110.995,72.824,97.785,81.48,11589616,375.564
Belgium,3/30/2020,13559,683,1161.429,1169.927,58.932,100.213,81.48,11589616,375.564
Belgium,3/31/2020,15297,1738,1220,1319.888,149.962,105.267,81.48,11589616,375.564
Belgium,4/1/2020,16978,1681,1289.429,1464.932,145.044,111.257,81.48,11589616,375.564
Belgium,4/2/2020,18494,1516,1334.714,1595.739,130.807,115.165,81.48,11589616,375.564
Belgium,4/3/2020,19973,1479,1351.286,1723.353,127.614,116.595,81.48,11589616,375.564
Belgium,4/4/2020,21667,1694,1376.429,1869.518,146.165,118.764,81.48,11589616,375.564
Belgium,4/5/2020,22589,922,1387.571,1949.072,79.554,119.725,81.48,11589616,375.564
